No,Title_,City_district,Place_rooms,Price,House area,Rooms No.,Floors,Contruction,Installation,Heating,Year of construction,Land area (a)
1,Namas pardavimui,Šiaulių r. sav.,"Gervėnai, Vyturių g. id:929250 2 kmb.",28000,30.0,2,2,Karkasinis,,Kietu kuru,1986,5.79
2,Sodyba pardavimui,Vilkaviškio r. sav.,"Vištytis, A. Juozapavičiaus g. id:922198 3 kmb.",22000,63.0,3,1,,,Kietu kuru,1962,15.0
3,Sodyba pardavimui,Elektrėnų sav.,Naujosios Kietaviškės id:924816 5 kmb.,395000,248.0,5,2,,,,2009,57.0
4,Namas pardavimui,Vilnius,"Antakalnis, Rokantiškių Sodų 9-oji g. id:929245 4 kmb.",270000,120.0,4,1,Plytinis,Naujas,,2017,7.5
5,Kotedžas pardavimui,Trakų r. sav.,"Turgaičiai, Pievų g. id:928949 4 kmb.",225000,124.0,4,1,Plytinis,Naujas,,2023,10.82
6,Sodyba pardavimui,Švenčionių r. sav.,Burbliškė I id:929244 2 kmb.,65000,68.0,2,1,Medinis,Tvarkingas,Kietu kuru,1961,45.45
7,Kotedžas pardavimui,Kunigiškės,Paliepgirių kel. id:896803 4 kmb.,179500,80.0,4,1,Plytinis,,Dujinis,2021,2.0
8,Namas pardavimui,Pasvalio r. sav.,"Pasvalys, Sodų g. id:867718 4 kmb.",85000,252.0,4,2,Mūrinis,Įrengtas,Centrinis,2006,20.0
9,Namas pardavimui,Kupiškio r. sav.,"Kupiškis, P. Matulionio g. id:910470 4 kmb.",24500,100.42,4,1,Mūrinis,Įrengtas,Kietu kuru,1919,17.0
10,Namas pardavimui,Šiaulių r. sav.,"Sutkūnai, Sutkūnų g. id:929232 3 kmb.",34900,72.0,3,1,Plytinis,,Dujinis,1974,8.85
11,Namas pardavimui,Kupiškio r. sav.,"Antašava, Pergalės g. id:900433 5 kmb.",18900,97.0,5,2,,,,1964,45.45
12,Kotedžas pardavimui,Vilnius,"Kalnėnai, Estų g. id:929228 4 kmb.",245000,96.0,4,2,Plytinis,Tvarkingas,Dujinis,2020,2.0
13,Kotedžas pardavimui,Trakų r. sav.,"Turgaičiai, Pievų g. id:928602 4 kmb.",225000,124.0,4,1,Plytinis,Naujas,,2024,10.82
