No,Price,House area,Rooms No.,Floors,Year of construction,Land area (a),Object type,Municipality
178,500000,266.0,5,1,2012,26.0,4,32
179,500000,148.0,4,1,2020,45.45,0,51
180,500000,164.0,5,1,2024,12.15,1,14
181,499300,215.0,5,2,2022,4.23,0,51
182,499000,210.0,5,2,2008,65.4,1,15
183,499000,120.0,3,1,2019,7.22,1,51
184,498000,319.0,5,2,2000,11.97,1,51
185,498000,440.0,7,2,1999,45.45,1,51
186,495000,202.0,5,1,2019,50.0,4,20
187,495000,249.0,3,1,2021,13.35,4,51
188,495000,449.0,12,3,1992,10.0,1,31
189,495000,177.0,5,2,2023,45.45,1,51
190,495000,97.0,5,2,2019,5.0,1,19
191,495000,175.0,4,1,2019,30.0,1,19
192,490000,137.0,4,2,2012,4.0,1,51
193,490000,376.0,9,2,2000,7.37,1,18
194,490000,204.0,6,1,2022,9.82,1,51
195,490000,403.0,7,2,2007,25.0,1,45
196,485302,192.0,5,2,2015,4.0,1,50
197,485000,170.0,5,1,2022,90.0,4,19
198,485000,229.0,6,2,2019,11.5,1,15
199,480000,220.0,8,2,2012,14.08,4,51
200,480000,206.0,5,2,2009,17.46,1,15
201,479000,149.0,4,2,2024,5.0,1,51
202,478900,207.0,5,2,2008,13.17,1,51
203,477000,271.0,4,2,2009,8.19,1,14
204,475000,139.0,4,2,2022,4.0,0,51
205,475000,139.0,5,3,2016,2.0,0,31
206,475000,210.0,4,5,2004,6.2,1,51
207,470000,280.0,5,2,2006,10.0,1,51
208,469500,149.0,5,2,2022,5.0,1,51
209,465000,116.0,5,1,2006,6.0,1,51
210,465000,377.0,8,2,2017,18.0,1,50
211,464000,160.0,5,2,2024,3.0,1,51
212,463392,220.0,5,2,2011,228.0,1,19
213,460000,190.0,6,1,2022,9.81,1,51
214,460000,174.0,5,2,2022,5.0,1,50
215,460000,345.0,5,1,2023,10.0,1,14
216,460000,159.0,4,3,2020,45.45,1,14
217,459000,58.0,3,1,1940,8.16,0,51
218,450000,347.41,5,2,2005,7.0,0,18
219,450000,132.0,5,3,2012,2.59,1,31
220,450000,210.0,6,2,2019,11.0,1,19
221,450000,195.0,5,1,2011,7.55,1,18
222,450000,170.0,4,1,2022,13.07,1,51
223,450000,94.0,5,2,1978,3.0,1,29
224,450000,293.0,6,2,2007,15.0,1,50
225,450000,241.0,5,2,2007,7.64,1,51
226,450000,340.0,10,3,1972,7.0,1,31
227,450000,300.0,9,2,1993,0.8,1,31
228,450000,400.0,4,3,2001,6.0,1,18
229,450000,193.0,7,2,2012,582.0,4,19
230,450000,293.0,4,1,2019,2.8,1,51
231,449910,283.0,5,2,2006,9.0,1,51
232,449000,228.0,6,2,2017,19.25,1,45
233,449000,262.0,3,2,2012,83.0,4,50
234,449000,210.0,4,2,2012,7.48,1,51
235,449000,198.0,5,2,2016,12.0,1,51
236,449000,197.0,5,2,2015,7.45,1,51
237,449000,187.0,5,2,2009,7.39,1,51
238,449000,262.0,3,2,2012,83.0,4,50
239,447000,226.0,4,2,2016,9.0,1,51
240,447000,348.0,5,2,2003,6.0,1,18
241,445000,269.0,6,2,2023,15.0,1,51
242,445000,164.0,5,2,1998,1.99,1,51
243,440000,198.0,6,1,1951,5.0,1,14
244,440000,70.0,3,2,2012,45.45,1,21
245,440000,192.0,6,1,2022,9.82,1,51
246,439900,169.0,4,1,2012,8.5,1,51
247,435600,204.0,4,1,2024,21.78,1,31
248,435000,345.0,5,2,1990,43.0,1,14
249,435000,223.0,5,2,2013,4.44,1,51
250,435000,266.0,5,2,2008,6.0,1,51
251,435000,154.0,4,1,2023,9.0,1,51
252,434500,223.0,4,1,2019,45.45,1,50
253,430000,170.0,1,2,2019,7.0,0,31
254,430000,308.0,5,2,2007,236.0,4,19
255,429000,248.0,7,2,2019,11.0,1,18
256,429000,185.0,4,1,2023,12.73,1,51
257,425000,152.0,4,2,2022,5.6,1,50
258,425000,232.0,4,1,2007,45.45,1,15
259,425000,224.0,4,2,1990,6.8,1,31
260,423000,359.0,6,2,2004,8.59,1,19
261,422500,165.0,5,2,2004,11.0,1,51
262,420000,212.0,4,2,2010,15.0,1,50
263,420000,180.0,5,2,2008,45.45,1,27
264,420000,252.0,5,1,2015,14.0,1,19
265,419000,243.0,5,2,2019,10.0,1,50
266,419000,124.0,4,1,2023,5.05,1,51
267,419000,160.0,4,2,2024,7.5,1,51
268,418000,133.0,4,2,2016,45.45,1,51
269,415000,348.0,5,2,2003,6.0,1,18
270,415000,137.0,4,1,2024,7.69,1,15
271,415000,150.0,4,2,2019,5.0,1,51
272,415000,270.0,5,1,2008,16.0,1,19
273,410000,206.0,5,1,2023,14.0,1,7
274,405000,151.0,4,2,2022,8.0,0,51
275,400000,368.0,9,3,2019,7.0,1,18
276,400000,223.0,5,2,2009,15.4,1,51
277,400000,324.0,4,3,2009,6.0,1,18
278,400000,196.0,5,3,2006,4.0,0,18
279,400000,124.0,7,1,2011,45.45,1,51
280,399999,445.0,7,2,2001,11.32,1,14
281,399500,204.65,5,2,2013,5.0,1,14
282,399000,202.0,5,1,2018,10.0,1,19
283,399000,462.0,7,2,2022,100.0,1,15
284,399000,136.0,5,2,2021,20.0,1,45
285,399000,172.0,5,2,2023,6.0,1,50
286,399000,77.0,4,2,1918,11.0,2,31
287,399000,310.0,7,2,1996,5.22,1,51
288,399000,183.0,4,2,2002,12.5,1,50
